"","AMZN","DIS","MCD","AIG","AXP","USB","LLY","MDT","PFE","CAT","EMR","UNP"
"202",1,-1,0,1,1,1,-1,-1,-1,0,1,1
"203",1,1,1,1,0,0,-1,-1,1,0,0,0
"204",-1,0,1,1,-1,0,1,-1,1,0,0,0
"205",0,0,0,1,1,1,-1,0,-1,0,0,0
"206",1,-1,0,1,0,-1,1,1,1,0,0,0
"207",1,1,0,-1,-1,0,-1,-1,1,0,1,0
"208",-1,-1,1,1,1,0,0,0,-1,0,0,0
"209",-1,1,1,1,1,1,1,1,-1,1,1,1
"210",1,1,0,-1,1,1,1,1,-1,0,1,1
"211",0,1,1,-1,-1,0,1,1,1,0,-1,0
"212",1,1,0,-1,-1,0,-1,1,-1,0,1,0
"213",-1,1,1,-1,1,0,-1,1,1,0,-1,0
"214",-1,-1,-1,1,1,0,1,1,1,1,1,0
"215",0,0,0,1,0,-1,-1,-1,1,0,-1,0
"216",-1,0,0,-1,-1,0,1,1,1,0,1,0
"217",-1,-1,0,1,0,0,-1,0,-1,0,1,0
"218",-1,1,1,-1,-1,0,1,-1,-1,0,0,0
"219",-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
"220",1,1,1,1,1,0,1,1,1,0,0,0
"221",0,1,0,-1,0,-1,0,0,1,0,1,1
"222",-1,-1,-1,1,0,-1,-1,-1,1,0,0,0
"223",0,-1,1,-1,-1,0,1,-1,-1,0,-1,-1
"224",-1,-1,0,-1,-1,0,-1,1,0,0,0,0
"225",-1,-1,1,-1,1,1,1,1,1,0,0,0
"226",1,-1,0,-1,-1,0,-1,1,-1,0,-1,0
"227",1,1,-1,1,-1,0,-1,1,-1,0,1,0
"228",-1,0,-1,-1,1,0,1,1,1,0,1,0
"229",-1,0,-1,1,1,1,1,1,0,0,-1,0
"230",1,-1,1,1,1,1,1,0,1,1,1,0
"231",-1,0,-1,1,-1,0,-1,-1,-1,0,-1,-1
"232",0,1,-1,1,-1,0,-1,1,-1,1,1,0
"233",1,-1,1,1,-1,0,0,1,1,1,0,0
"234",-1,1,-1,1,1,1,0,0,1,0,1,0
"235",-1,1,-1,1,0,0,0,-1,-1,-1,0,-1
"236",-1,-1,1,1,0,1,1,1,0,0,-1,0
"237",1,1,-1,1,1,1,1,1,0,0,1,0
"238",1,-1,1,-1,1,1,0,-1,0,0,-1,0
"239",0,0,1,-1,0,-1,-1,-1,1,0,1,0
"240",-1,-1,0,-1,0,0,-1,1,1,0,-1,0
